Year,Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,212310,Dimensional stone,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.003,4,2,1,1,1
2016,212310,Dimensional stone,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,212310,Dimensional stone,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,2123A0,"Sand, gravel, clay, phosphate, other nonmetallic minerals",carbon dioxide,"kg/2018 USD, purchaser price",0.551,0.156,0.707,4,2,1,4,1
2016,2123A0,"Sand, gravel, clay, phosphate, other nonmetallic minerals",methane,"kg/2018 USD, purchaser price",0.003,0.002,0.004,4,2,1,1,1
2016,2123A0,"Sand, gravel, clay, phosphate, other nonmetallic minerals",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,2123A0,"Sand, gravel, clay, phosphate, other nonmetallic minerals",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,4,1
2016,213111,Well drilling,carbon dioxide,"kg/2018 USD, purchaser price",0.34,0.0,0.34,4,2,1,4,1
2016,213111,Well drilling,methane,"kg/2018 USD, purchaser price",0.008,0.0,0.008,4,2,1,1,1
2016,213111,Well drilling,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,213111,Well drilling,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,3,2,1,3,1
2016,21311A,Other support activities for mining,carbon dioxide,"kg/2018 USD, purchaser price",0.409,0.0,0.409,4,2,1,4,1
2016,21311A,Other support activities for mining,methane,"kg/2018 USD, purchaser price",0.008,0.0,0.008,4,2,1,1,1
2016,21311A,Other support activities for mining,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,21311A,Other support activities for mining,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,3,1
2016,221100,Electricity,carbon dioxide,"kg/2018 USD, purchaser price",3.586,0.0,3.586,2,2,1,2,1
2016,221100,Electricity,methane,"kg/2018 USD, purchaser price",0.006,0.0,0.006,4,2,1,1,1
2016,221100,Electricity,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,221100,Electricity,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0.0,0.013,2,2,1,2,1
2016,221200,Natural gas,carbon dioxide,"kg/2018 USD, purchaser price",0.546,0.0,0.546,3,2,1,2,1
2016,221200,Natural gas,methane,"kg/2018 USD, purchaser price",0.01,0.0,0.01,4,2,1,1,1
2016,221200,Natural gas,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,221200,Natural gas,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,221300,Drinking water and wastewater treatment,carbon dioxide,"kg/2018 USD, purchaser price",0.384,0.0,0.384,3,2,1,3,1
2016,221300,Drinking water and wastewater treatment,methane,"kg/2018 USD, purchaser price",0.009,0.0,0.009,4,2,1,1,1
2016,221300,Drinking water and wastewater treatment,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2016,221300,Drinking water and wastewater treatment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.009,0.0,0.009,4,2,1,4,1
2016,230301,Nonresidential maintenance and repair,carbon dioxide,"kg/2018 USD, purchaser price",0.389,0.0,0.389,3,2,1,4,1
2016,230301,Nonresidential maintenance and repair,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,230301,Nonresidential maintenance and repair,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,230301,Nonresidential maintenance and repair,other GHGs,"kg CO2e/2018 USD, purchaser price",0.039,0.0,0.039,4,2,1,5,1
2016,230302,Residential maintenance and repair,carbon dioxide,"kg/2018 USD, purchaser price",0.31,0.0,0.31,3,2,1,4,1
2016,230302,Residential maintenance and repair,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,230302,Residential maintenance and repair,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,230302,Residential maintenance and repair,other GHGs,"kg CO2e/2018 USD, purchaser price",0.04,0.0,0.04,4,2,1,5,1
2016,233210,Health care structures,carbon dioxide,"kg/2018 USD, purchaser price",0.234,0.0,0.234,3,2,1,4,1
2016,233210,Health care structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,233210,Health care structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,233210,Health care structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.042,0.0,0.042,4,2,1,5,1
2016,233230,Manufacturing structures,carbon dioxide,"kg/2018 USD, purchaser price",0.313,0.0,0.313,3,2,1,3,1
2016,233230,Manufacturing structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,233230,Manufacturing structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,233230,Manufacturing structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0.0,0.019,4,2,1,5,1
2016,233240,Power and communication structures,carbon dioxide,"kg/2018 USD, purchaser price",0.334,0.0,0.334,3,2,1,4,1
2016,233240,Power and communication structures,methane,"kg/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,1,1
2016,233240,Power and communication structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,233240,Power and communication structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,2,1,5,1
2016,233262,Educational and vocational structures,carbon dioxide,"kg/2018 USD, purchaser price",0.22,0.0,0.22,3,2,1,3,1
2016,233262,Educational and vocational structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,233262,Educational and vocational structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,233262,Educational and vocational structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.037,0.0,0.037,4,2,1,5,1
2016,2332A0,"Commercial structures, including farm structures",carbon dioxide,"kg/2018 USD, purchaser price",0.227,0.0,0.227,3,2,1,3,1
2016,2332A0,"Commercial structures, including farm structures",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,2332A0,"Commercial structures, including farm structures",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,2332A0,"Commercial structures, including farm structures",other GHGs,"kg CO2e/2018 USD, purchaser price",0.037,0.0,0.037,4,2,1,5,1
2016,2332C0,Transportation structures and highways and streets,carbon dioxide,"kg/2018 USD, purchaser price",0.406,0.0,0.406,4,2,1,4,1
2016,2332C0,Transportation structures and highways and streets,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,2332C0,Transportation structures and highways and streets,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,2332C0,Transportation structures and highways and streets,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0.0,0.013,4,2,1,5,1
2016,2332D0,Other nonresidential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.353,0.0,0.353,3,2,1,4,1
2016,2332D0,Other nonresidential structures,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,2332D0,Other nonresidential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,2332D0,Other nonresidential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0.0,0.019,4,2,1,5,1
2016,233411,Single-family residential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.19,0.0,0.19,3,2,1,3,1
2016,233411,Single-family residential structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,233411,Single-family residential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,233411,Single-family residential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,2,1,5,1
2016,233412,Multifamily residential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.107,0.0,0.107,3,2,1,3,1
2016,233412,Multifamily residential structures,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2016,233412,Multifamily residential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,233412,Multifamily residential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,2,1,5,1
2016,2334A0,Other residential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.304,0.0,0.304,3,2,1,4,1
2016,2334A0,Other residential structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,2334A0,Other residential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,2334A0,Other residential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.023,0.0,0.023,4,2,1,5,1
2016,311111,Dog and cat food,carbon dioxide,"kg/2018 USD, purchaser price",0.258,0.067,0.326,3,2,1,4,1
2016,311111,Dog and cat food,methane,"kg/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,1,1
2016,311111,Dog and cat food,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311111,Dog and cat food,other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0.0,0.008,3,2,1,3,1
2016,311119,Other animal food,carbon dioxide,"kg/2018 USD, purchaser price",0.235,0.034,0.269,4,2,1,4,1
2016,311119,Other animal food,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,1,1
2016,311119,Other animal food,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311119,Other animal food,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,311210,Flours and malts,carbon dioxide,"kg/2018 USD, purchaser price",0.36,0.033,0.392,3,2,1,4,1
2016,311210,Flours and malts,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.003,3,2,1,1,1
2016,311210,Flours and malts,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311210,Flours and malts,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,311221,Corn products,carbon dioxide,"kg/2018 USD, purchaser price",0.496,0.026,0.523,4,2,1,4,1
2016,311221,Corn products,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.003,3,2,1,1,1
2016,311221,Corn products,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311221,Corn products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,4,1
2016,311224,Soybean and other oilseed processing,carbon dioxide,"kg/2018 USD, purchaser price",0.052,0.006,0.058,4,2,1,4,1
2016,311224,Soybean and other oilseed processing,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2016,311224,Soybean and other oilseed processing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,311224,Soybean and other oilseed processing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,311225,"Refined vegetable, olive, and seed oils",carbon dioxide,"kg/2018 USD, purchaser price",0.351,0.031,0.383,4,2,1,4,1
2016,311225,"Refined vegetable, olive, and seed oils",methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,1,1
2016,311225,"Refined vegetable, olive, and seed oils",nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311225,"Refined vegetable, olive, and seed oils",other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,2,1,4,1
2016,311230,Breakfast cereals,carbon dioxide,"kg/2018 USD, purchaser price",0.39,0.084,0.474,3,2,1,4,1
2016,311230,Breakfast cereals,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,1,1
2016,311230,Breakfast cereals,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311230,Breakfast cereals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,2,1,5,1
2016,311300,"Sugar, candy, and chocolate",carbon dioxide,"kg/2018 USD, purchaser price",0.437,0.078,0.515,4,2,1,4,1
2016,311300,"Sugar, candy, and chocolate",methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,2,1,1,1
2016,311300,"Sugar, candy, and chocolate",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,311300,"Sugar, candy, and chocolate",other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0.0,0.008,4,2,1,4,1
2016,311410,Frozen food,carbon dioxide,"kg/2018 USD, purchaser price",0.424,0.079,0.504,3,2,1,4,1
2016,311410,Frozen food,methane,"kg/2018 USD, purchaser price",0.006,0.0,0.007,3,2,1,1,1
2016,311410,Frozen food,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311410,Frozen food,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0.0,0.007,4,2,1,4,1
2016,311420,Fruit and vegetable preservation,carbon dioxide,"kg/2018 USD, purchaser price",0.297,0.061,0.358,3,2,1,4,1
2016,311420,Fruit and vegetable preservation,methane,"kg/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,1,1
2016,311420,Fruit and vegetable preservation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,311420,Fruit and vegetable preservation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.043,0.0,0.043,4,2,1,5,1
2016,311513,Cheese,carbon dioxide,"kg/2018 USD, purchaser price",0.421,0.05,0.471,3,2,1,4,1
2016,311513,Cheese,methane,"kg/2018 USD, purchaser price",0.036,0.0,0.036,3,2,1,1,1
2016,311513,Cheese,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,3,1
2016,311513,Cheese,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0.0,0.007,4,2,1,4,1
2016,311514,"Dry, condensed, and evaporated dairy",carbon dioxide,"kg/2018 USD, purchaser price",0.413,0.054,0.467,3,2,1,4,1
2016,311514,"Dry, condensed, and evaporated dairy",methane,"kg/2018 USD, purchaser price",0.025,0.0,0.026,3,2,1,1,1
2016,311514,"Dry, condensed, and evaporated dairy",nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,3,1
2016,311514,"Dry, condensed, and evaporated dairy",other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0.0,0.008,4,2,1,4,1
2016,31151A,Fluid milk and butter,carbon dioxide,"kg/2018 USD, purchaser price",0.407,0.063,0.47,3,2,1,4,1
2016,31151A,Fluid milk and butter,methane,"kg/2018 USD, purchaser price",0.031,0.0,0.031,3,2,1,1,1
2016,31151A,Fluid milk and butter,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,3,1
2016,31151A,Fluid milk and butter,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0.0,0.007,4,2,1,4,1
2016,311520,Ice cream and frozen desserts,carbon dioxide,"kg/2018 USD, purchaser price",0.364,0.042,0.406,3,2,1,4,1
2016,311520,Ice cream and frozen desserts,methane,"kg/2018 USD, purchaser price",0.012,0.0,0.012,3,2,1,1,1
2016,311520,Ice cream and frozen desserts,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,311520,Ice cream and frozen desserts,other GHGs,"kg CO2e/2018 USD, purchaser price",0.014,0.0,0.014,4,2,1,5,1
2016,311615,Packaged poultry,carbon dioxide,"kg/2018 USD, purchaser price",0.477,0.05,0.528,4,2,1,4,1
2016,311615,Packaged poultry,methane,"kg/2018 USD, purchaser price",0.006,0.0,0.006,3,2,1,1,1
2016,311615,Packaged poultry,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,311615,Packaged poultry,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,31161A,Packaged meat (except poultry),carbon dioxide,"kg/2018 USD, purchaser price",0.418,0.051,0.469,4,2,1,4,1
2016,31161A,Packaged meat (except poultry),methane,"kg/2018 USD, purchaser price",0.041,0.0,0.041,4,2,1,1,1
2016,31161A,Packaged meat (except poultry),nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,31161A,Packaged meat (except poultry),other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,311700,Seafood,carbon dioxide,"kg/2018 USD, purchaser price",0.276,0.056,0.332,4,2,1,4,1
2016,311700,Seafood,methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,1,1
2016,311700,Seafood,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,311700,Seafood,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,311810,Bread and other baked goods,carbon dioxide,"kg/2018 USD, purchaser price",0.191,0.052,0.243,3,2,1,4,1
