Year,Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2016,315AL,Apparel and leather and allied products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,315AL,Apparel and leather and allied products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,321,Wood products,carbon dioxide,"kg/2018 USD, purchaser price",0.189,0.029,0.218,3,2,1,3,1
2016,321,Wood products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,321,Wood products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,321,Wood products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0.0,0.01,4,2,1,5,1
2016,322,Paper products,carbon dioxide,"kg/2018 USD, purchaser price",0.345,0.021,0.366,3,2,1,4,1
2016,322,Paper products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,322,Paper products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,322,Paper products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,4,1
2016,323,Printing and related support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.21,0.02,0.23,3,2,1,4,1
2016,323,Printing and related support activities,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,323,Printing and related support activities,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,323,Printing and related support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,4,1
2016,324,Petroleum and coal products,carbon dioxide,"kg/2018 USD, purchaser price",0.755,0.018,0.773,4,2,1,3,1
2016,324,Petroleum and coal products,methane,"kg/2018 USD, purchaser price",0.018,0.0,0.018,4,2,1,1,1
2016,324,Petroleum and coal products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,324,Petroleum and coal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,325,Chemical products,carbon dioxide,"kg/2018 USD, purchaser price",0.282,0.013,0.295,4,2,1,4,1
2016,325,Chemical products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,325,Chemical products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,325,Chemical products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0.0,0.01,3,2,1,3,1
2016,326,Plastics and rubber products,carbon dioxide,"kg/2018 USD, purchaser price",0.164,0.009,0.173,3,2,1,3,1
2016,326,Plastics and rubber products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,326,Plastics and rubber products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,326,Plastics and rubber products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,2,1,4,1
2016,327,Nonmetallic mineral products,carbon dioxide,"kg/2018 USD, purchaser price",0.499,0.039,0.538,3,2,1,3,1
2016,327,Nonmetallic mineral products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.002,4,2,1,1,1
2016,327,Nonmetallic mineral products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,327,Nonmetallic mineral products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,331,Primary metals,carbon dioxide,"kg/2018 USD, purchaser price",0.058,0.002,0.06,2,2,1,2,1
2016,331,Primary metals,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2016,331,Primary metals,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,331,Primary metals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0.0,0.021,3,2,1,2,1
2016,332,Fabricated metal products,carbon dioxide,"kg/2018 USD, purchaser price",0.225,0.015,0.239,3,2,1,3,1
2016,332,Fabricated metal products,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,332,Fabricated metal products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,332,Fabricated metal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0.0,0.008,3,2,1,3,1
2016,333,Machinery,carbon dioxide,"kg/2018 USD, purchaser price",0.167,0.019,0.185,3,2,1,3,1
2016,333,Machinery,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,333,Machinery,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,333,Machinery,other GHGs,"kg CO2e/2018 USD, purchaser price",0.043,0.0,0.043,4,2,1,5,1
2016,334,Computer and electronic products,carbon dioxide,"kg/2018 USD, purchaser price",0.043,0.022,0.064,3,2,1,3,1
2016,334,Computer and electronic products,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,334,Computer and electronic products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,334,Computer and electronic products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.015,0.0,0.015,2,2,1,1,1
2016,335,"Electrical equipment, appliances, and components",carbon dioxide,"kg/2018 USD, purchaser price",0.197,0.034,0.232,3,2,1,3,1
2016,335,"Electrical equipment, appliances, and components",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,335,"Electrical equipment, appliances, and components",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,335,"Electrical equipment, appliances, and components",other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,2,1,4,1
2016,3361MV,"Motor vehicles, bodies and trailers, and parts",carbon dioxide,"kg/2018 USD, purchaser price",0.174,0.015,0.188,3,2,1,3,1
2016,3361MV,"Motor vehicles, bodies and trailers, and parts",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,3361MV,"Motor vehicles, bodies and trailers, and parts",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,3361MV,"Motor vehicles, bodies and trailers, and parts",other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0.0,0.019,4,2,1,4,1
2016,3364OT,Other transportation equipment,carbon dioxide,"kg/2018 USD, purchaser price",0.084,0.006,0.09,3,2,1,3,1
2016,3364OT,Other transportation equipment,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,3364OT,Other transportation equipment,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,3364OT,Other transportation equipment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,3,2,1,3,1
2016,337,Furniture and related products,carbon dioxide,"kg/2018 USD, purchaser price",0.159,0.087,0.246,3,2,1,3,1
2016,337,Furniture and related products,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,3,2,1,1,1
2016,337,Furniture and related products,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,337,Furniture and related products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0.0,0.021,4,2,1,5,1
2016,339,Miscellaneous manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.158,0.069,0.227,3,2,1,3,1
2016,339,Miscellaneous manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,3,2,1,1,1
2016,339,Miscellaneous manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,339,Miscellaneous manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,42,Wholesale trade,carbon dioxide,"kg/2018 USD, purchaser price",0.113,0.0,0.113,3,2,1,3,1
2016,42,Wholesale trade,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,42,Wholesale trade,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,42,Wholesale trade,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,441,Motor vehicle and parts dealers,carbon dioxide,"kg/2018 USD, purchaser price",0.12,0.0,0.12,3,2,1,3,1
2016,441,Motor vehicle and parts dealers,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,441,Motor vehicle and parts dealers,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,441,Motor vehicle and parts dealers,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,445,Food and beverage stores,carbon dioxide,"kg/2018 USD, purchaser price",0.219,0.0,0.219,2,2,1,3,1
2016,445,Food and beverage stores,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,445,Food and beverage stores,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,445,Food and beverage stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,452,General merchandise stores,carbon dioxide,"kg/2018 USD, purchaser price",0.15,0.0,0.15,2,2,1,3,1
2016,452,General merchandise stores,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,452,General merchandise stores,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,452,General merchandise stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.871,0.0,0.871,4,2,1,1,1
2016,481,Air transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,482,Rail transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.693,0.0,0.693,4,2,1,4,1
2016,482,Rail transportation,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,482,Rail transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,482,Rail transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.635,0.0,0.635,4,2,1,2,1
2016,483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,2,1
2016,483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.057,0.0,0.057,4,2,1,5,1
2016,484,Truck transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.318,0.0,1.318,4,2,1,4,1
2016,484,Truck transportation,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,1,1
2016,484,Truck transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,484,Truck transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0.0,0.021,4,2,1,5,1
2016,485,Transit and ground passenger transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.312,0.0,0.312,3,2,1,3,1
2016,485,Transit and ground passenger transportation,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2016,485,Transit and ground passenger transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,485,Transit and ground passenger transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,2,1,5,1
2016,486,Pipeline transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.08,0.0,1.08,4,2,1,1,1
2016,486,Pipeline transportation,methane,"kg/2018 USD, purchaser price",0.028,0.0,0.028,4,2,1,1,1
2016,486,Pipeline transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,486,Pipeline transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,4,2,1,5,1
2016,487OS,Other transportation and support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.371,0.0,0.371,4,2,1,3,1
2016,487OS,Other transportation and support activities,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,2,1
2016,487OS,Other transportation and support activities,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,487OS,Other transportation and support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,2,1,4,1
2016,493,Warehousing and storage,carbon dioxide,"kg/2018 USD, purchaser price",0.426,0.0,0.426,2,2,1,2,1
2016,493,Warehousing and storage,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,493,Warehousing and storage,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,2,1
2016,493,Warehousing and storage,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,3,2,1,3,1
2016,4A0,Other retail,carbon dioxide,"kg/2018 USD, purchaser price",0.147,0.0,0.147,3,2,1,3,1
2016,4A0,Other retail,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,4A0,Other retail,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,4A0,Other retail,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,511,"Publishing industries, except internet (includes software)",carbon dioxide,"kg/2018 USD, purchaser price",0.043,0.012,0.055,3,2,1,3,1
2016,511,"Publishing industries, except internet (includes software)",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,511,"Publishing industries, except internet (includes software)",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,511,"Publishing industries, except internet (includes software)",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,4,1
2016,512,Motion picture and sound recording industries,carbon dioxide,"kg/2018 USD, purchaser price",0.052,0.002,0.055,3,2,1,3,1
2016,512,Motion picture and sound recording industries,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,512,Motion picture and sound recording industries,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,512,Motion picture and sound recording industries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,513,Broadcasting and telecommunications,carbon dioxide,"kg/2018 USD, purchaser price",0.078,0.0,0.078,3,2,1,3,1
2016,513,Broadcasting and telecommunications,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,513,Broadcasting and telecommunications,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,513,Broadcasting and telecommunications,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,2,1,5,1
2016,514,"Data processing, internet publishing, and other information services",carbon dioxide,"kg/2018 USD, purchaser price",0.081,0.0,0.081,3,2,1,3,1
2016,514,"Data processing, internet publishing, and other information services",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,514,"Data processing, internet publishing, and other information services",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,514,"Data processing, internet publishing, and other information services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,5,1
2016,521CI,"Federal Reserve banks, credit intermediation, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.069,0.0,0.069,3,2,1,3,1
2016,521CI,"Federal Reserve banks, credit intermediation, and related activities",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,521CI,"Federal Reserve banks, credit intermediation, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,521CI,"Federal Reserve banks, credit intermediation, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,523,"Securities, commodity contracts, and investments",carbon dioxide,"kg/2018 USD, purchaser price",0.101,0.0,0.101,3,2,1,3,1
2016,523,"Securities, commodity contracts, and investments",methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,523,"Securities, commodity contracts, and investments",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,523,"Securities, commodity contracts, and investments",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,524,Insurance carriers and related activities,carbon dioxide,"kg/2018 USD, purchaser price",0.042,0.0,0.042,3,2,1,3,1
2016,524,Insurance carriers and related activities,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,524,Insurance carriers and related activities,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,524,Insurance carriers and related activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,525,"Funds, trusts, and other financial vehicles",carbon dioxide,"kg/2018 USD, purchaser price",0.182,0.0,0.182,3,2,1,3,1
2016,525,"Funds, trusts, and other financial vehicles",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,525,"Funds, trusts, and other financial vehicles",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,525,"Funds, trusts, and other financial vehicles",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,4,1
2016,532RL,Rental and leasing services and lessors of intangible assets,carbon dioxide,"kg/2018 USD, purchaser price",0.09,0.0,0.09,3,2,1,3,1
2016,532RL,Rental and leasing services and lessors of intangible assets,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,532RL,Rental and leasing services and lessors of intangible assets,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,532RL,Rental and leasing services and lessors of intangible assets,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,5,1
2016,5411,Legal services,carbon dioxide,"kg/2018 USD, purchaser price",0.058,0.0,0.058,3,2,1,3,1
2016,5411,Legal services,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,5411,Legal services,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,5411,Legal services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,4,1
2016,5412OP,"Miscellaneous professional, scientific, and technical services",carbon dioxide,"kg/2018 USD, purchaser price",0.109,0.0,0.109,3,2,1,3,1
2016,5412OP,"Miscellaneous professional, scientific, and technical services",methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,5412OP,"Miscellaneous professional, scientific, and technical services",nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,5412OP,"Miscellaneous professional, scientific, and technical services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2016,5415,Computer systems design and related services,carbon dioxide,"kg/2018 USD, purchaser price",0.06,0.0,0.06,3,2,1,3,1
2016,5415,Computer systems design and related services,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,5415,Computer systems design and related services,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,5415,Computer systems design and related services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,5,1
2016,55,Management of companies and enterprises,carbon dioxide,"kg/2018 USD, purchaser price",0.102,0.0,0.102,3,2,1,3,1
2016,55,Management of companies and enterprises,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
2016,55,Management of companies and enterprises,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2016,55,Management of companies and enterprises,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0.0,0.002,3,2,1,4,1
2016,561,Administrative and support services,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0.0,0.088,3,2,1,3,1
2016,561,Administrative and support services,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,561,Administrative and support services,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2016,561,Administrative and support services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,5,1
2016,562,Waste management and remediation services,carbon dioxide,"kg/2018 USD, purchaser price",0.274,0.0,0.274,2,2,1,2,1
2016,562,Waste management and remediation services,methane,"kg/2018 USD, purchaser price",0.044,0.0,0.044,2,2,1,1,1
2016,562,Waste management and remediation services,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,1,1
2016,562,Waste management and remediation services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.013,0.0,0.013,4,2,1,5,1
2016,61,Educational services,carbon dioxide,"kg/2018 USD, purchaser price",0.176,0.0,0.176,3,2,1,3,1
2016,61,Educational services,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,2,1,1,1
2016,61,Educational services,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2016,61,Educational services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0.0,0.003,4,2,1,4,1
2016,621,Ambulatory health care services,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0.0,0.088,3,2,1,3,1
2016,621,Ambulatory health care services,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,1,1
